관서명,살인 발생,강도 발생,강간 발생,절도 발생,폭력 발생
강남서,3,15,300,2411,2465
강동서,4,6,156,2366,2712
강북서,7,14,153,1434,2649
강서서,7,13,262,2096,3207
관악서,9,12,320,2706,3298
광진서,4,14,240,3026,2625
구로서,8,15,281,2335,3007
금천서,3,6,151,1567,2054
남대문서,1,6,65,1153,869
노원서,10,7,197,2193,2723
도봉서,3,9,102,1063,1487
동대문서,5,13,173,1981,2548
동작서,5,9,285,1865,1910
마포서,8,14,294,2555,2983
방배서,1,1,59,653,547
서대문서,2,5,154,1812,2056
서부서,2,2,70,819,1192
서초서,7,8,334,1982,1852
성동서,4,9,126,1607,1612
성북서,2,2,86,953,1194
송파서,11,13,220,3239,3295
수서서,10,6,149,1439,1819
양천서,3,6,120,1890,2509
영등포서,14,22,295,2964,3572
용산서,5,14,194,1557,2050
은평서,1,7,96,1095,1461
종로서,3,6,115,1070,1278
종암서,3,3,64,832,1015
중랑서,13,11,187,2135,2847
중부서,2,3,105,1395,1355
혜화서,3,5,96,1114,1015
