,long,lat,prob,target
80,126.8264393,37.49016576,1,TRUE
102,126.8264393,37.49016576,1,TRUE
126,126.8412305,37.49394195,1,TRUE
134,126.8879073,37.49582991,1,TRUE
196,126.8879073,37.49582991,1,TRUE
215,126.8264393,37.49016576,1,TRUE
322,126.8927814,37.49407207,1,TRUE
354,126.8879073,37.49582991,1,TRUE
362,126.8814918,37.50243343,1,TRUE
378,126.8412305,37.49394195,1,TRUE
385,126.8421347,37.48340499,1,TRUE
446,126.8879073,37.49582991,1,TRUE
499,126.8532783,37.50658242,1,TRUE
523,126.8880789,37.50510683,1,TRUE
541,126.8879073,37.49582991,1,TRUE
574,126.8264393,37.49016576,1,TRUE
577,126.8412305,37.49394195,1,TRUE
659,126.8879073,37.49582991,1,TRUE
660,126.8412305,37.49394195,1,TRUE
678,126.8391137,37.48968634,1,TRUE
684,126.8657986,37.49761248,1,TRUE
705,126.8839915,37.48614211,1,TRUE
720,126.907734,37.465061,1,TRUE
726,126.8486143,37.4990295,1,TRUE
745,126.8879073,37.49582991,1,TRUE
759,126.8391137,37.48968634,1,TRUE
764,126.8725589,37.4909345,1,TRUE
795,126.8264393,37.49016576,1,TRUE
823,126.8879073,37.49582991,1,TRUE
826,126.8879073,37.49582991,1,TRUE
828,126.8879073,37.49582991,1,TRUE
842,126.86757,37.50115723,1,TRUE
843,126.8412305,37.49394195,1,TRUE
866,126.8821492,37.49287621,1,TRUE
891,126.8882072,37.48276919,1,TRUE
960,126.855812,37.561759,1,TRUE
971,126.844365,37.50491677,1,TRUE
1015,126.8477431,37.49215933,1,TRUE
1016,126.8904445,37.48371194,1,TRUE
1034,126.844365,37.50491677,1,TRUE
1046,126.8879073,37.49582991,1,TRUE
1136,126.8391137,37.48968634,1,TRUE
1164,126.8879073,37.49582991,1,TRUE
1166,126.8556413,37.50107839,1,TRUE
1192,126.8927814,37.49407207,1,TRUE
1204,126.9110546,37.48702334,1,TRUE
1212,126.8897653,37.49965913,1,TRUE
1213,126.8879073,37.49582991,1,TRUE
1223,126.8534812,37.4837764,1,TRUE
1225,126.8879073,37.49582991,1,TRUE
1265,126.8880789,37.50510683,1,TRUE
1270,126.8879073,37.49582991,1,TRUE
1271,126.8409758,37.49246036,1,TRUE
1293,126.8873096,37.48416671,1,TRUE
